city_name,weather_description,temperature,atmospheric_pressure,humidity,clouds,precipitation,creation_date
Guimaraes,"nuvens dispersas",18,1017,88,40,0,"2018-08-07 08H"
Guimaraes,"nuvens quebrados",19,1017,82,75,0,"2018-08-07 09H"
Guimaraes,"nuvens dispersas",20,1017,77,40,0,"2018-08-07 10H"
Guimaraes,"algumas nuvens",20,1017,77,20,0,"2018-08-07 11H"
Guimaraes,"algumas nuvens",20,1017,68,20,0,"2018-08-07 12H"
Guimaraes,"céu claro",23,999,69,0,0,"2018-08-07 13H"
Guimaraes,"céu claro",24,998,59,0,0,"2018-08-07 14H"
Guimaraes,"céu claro",24,998,59,0,0,"2018-08-07 15H"
Guimaraes,"algumas nuvens",20,1016,73,20,0,"2018-08-07 16H"
Guimaraes,"algumas nuvens",20,1016,82,20,0,"2018-08-07 17H"
Guimaraes,"céu claro",19,1016,82,0,0,"2018-08-07 18H"
Guimaraes,"algumas nuvens",19,1016,88,20,0,"2018-08-07 19H"
Guimaraes,"nuvens dispersas",17,1016,93,40,0,"2018-08-07 20H"
Guimaraes,"nuvens quebrados",17,1016,88,75,0,"2018-08-07 21H"
Guimaraes,"nuvens quebrados",17,1016,88,75,0,"2018-08-07 23H"
Guimaraes,"nuvens dispersas",17,1016,93,40,0,"2018-08-08 00H"
Guimaraes,"algumas nuvens",16,1016,93,20,0,"2018-08-08 01H"
Guimaraes,"algumas nuvens",16,1015,100,20,0,"2018-08-08 02H"
Guimaraes,"céu claro",15,1015,100,0,0,"2018-08-08 03H"
Guimaraes,"céu claro",15,1015,100,0,0,"2018-08-08 04H"
Guimaraes,"nuvens dispersas",14,1015,100,40,0,"2018-08-08 05H"
Guimaraes,"nuvens dispersas",14,1015,93,40,0,"2018-08-08 06H"
Guimaraes,"nuvens quebrados",14,1015,100,75,0,"2018-08-08 07H"
Guimaraes,"nuvens quebrados",16,1015,93,75,0,"2018-08-08 08H"
Guimaraes,"nuvens quebrados",18,1016,88,75,0,"2018-08-08 09H"
Guimaraes,"algumas nuvens",20,1016,82,20,0,"2018-08-08 11H"
Guimaraes,"algumas nuvens",21,1016,73,20,0,"2018-08-08 13H"
Guimaraes,"algumas nuvens",21,1016,68,20,0,"2018-08-08 14H"
Guimaraes,"algumas nuvens",21,1015,68,20,0,"2018-08-08 15H"
Guimaraes,"nuvens dispersas",21,1015,77,40,0,"2018-08-08 17H"
Guimaraes,"nuvens quebrados",20,1015,82,75,0,"2018-08-08 18H"
Guimaraes,"nuvens dispersas",18,1016,82,40,0,"2018-08-08 20H"
Guimaraes,"nuvens quebrados",17,1017,87,75,0,"2018-08-08 21H"
Guimaraes,"garoa fraca",17,1017,93,90,0,"2018-08-08 22H"
Guimaraes,"garoa fraca",17,1018,93,75,0,"2018-08-08 23H"
Guimaraes,"garoa fraca",17,1018,93,90,0,"2018-08-09 00H"
Guimaraes,"nuvens quebrados",17,1018,88,75,0,"2018-08-09 01H"
Guimaraes,"nuvens quebrados",16,1018,93,75,0,"2018-08-09 02H"
Guimaraes,"nuvens dispersas",16,1018,100,40,0,"2018-08-09 03H"
Guimaraes,"céu claro",15,1018,93,0,0,"2018-08-09 04H"
Guimaraes,"céu claro",15,1019,93,0,0,"2018-08-09 05H"
